LOCATION_ID,FUEL_TYPES
EET,"100LL,A+"
BFZ,"100LL,A+"
ALX,"100LL,A"
AIV,100LL
79J,"100LL,A+"
ANB,"100LL,A"
0R1,100LL
AUO,"100LL,A,A+"
1R8,"100LL,A+"
EKY,"100LL,A,A+"
BHM,"100LL,A"
12J,"100LL,A+"
PYP,100LL
02A,"100LL,A"
9A4,100LL
CMD,"100LL,A,A1+"
DCU,"100LL,A+"
DYA,"100LL,A+"
DHN,"100LL,A"
14J,100LL
EDN,"100LL,A+"
EUF,"100LL,A+"
GZH,"100LL,A+"
CQF,"100LL,A+"
M95,"100LL,A+"
0J4,"100LL,A"
5R4,100LL
4A9,"100LL,A+"
GAD,"100LL,A1+"
33J,"100LL,A+"
7A0,100LL
PRN,100LL
JKA,"100LL,A+"
8A1,"100LL,A+"
1M4,"100LL,A+"
HAB,"100LL,A+"
5M0,100LL
M38,100LL
HDL,"100LL,A"
HSV,"100LL,A"
3M5,100LL
MDQ,"100LL,A"
4R3,100LL
JFX,"100LL,A,A1"
7A3,100LL
04A,100LL
BFM,"100LL,A"
MOB,"100LL,A,A+"
MVC,"100LL,A+"
MGM,"100LL,A,A++"
MSL,"100LL,A"
71J,"100LL,A"
PLR,"100LL,A+"
1A9,"100LL,A+"
3M8,100LL
M22,"100LL,A"
2R5,100LL
4A6,"100LL,A"
SEM,"100LL,A"
SCD,"100LL,A+"
ASN,"100LL,A,A+"
TOI,"100LL,A+"
TCL,"100LL,A"
06A,"100LL,A+"
07A,100LL
08A,100LL
E95,"100LL,A"
P04,100LL
BXK,"100LL,A1"
IFP,"100LL,A"
A20,"100LL,A"
CGZ,"100LL,A+"
P19,"100LL,A"
CHD,"100LL,A+"
AZC,"100LL,A+"
P08,"100LL,A"
P52,100LL
DGL,"100LL,A"
DUG,"100LL,A1+"
E60,"100LL,A"
FLG,"100LL,A"
FHU,"100,A"
E63,100LL
GEU,"100LL,A1+"
P13,"100LL,A"
GYR,"100LL,A"
GCN,"100LL,A"
P14,100LL
IGM,"100LL,A"
HII,"100LL,A"
MZJ,"100LL,A"
FFZ,"100LL,A,A1+"
OLS,"100LL,A"
PGA,"100LL,A"
