LOCATION_ID,FACILITY_USE_CODE
0J0,PU
2A8,PU
AL03,PR
EET,PU
AL39,PR
BFZ,PU
ALX,PU
33AL,PR
AIV,PU
79J,PU
ANB,PU
AL42,PR
04AL,PR
51AL,PR
90KY,PR
26A,PU
0AL2,PR
AL60,PR
5AL9,PR
56AL,PR
0R1,PU
AUO,PU
1R8,PU
6AL9,PR
96AL,PR
5R7,PU
AL67,PR
EKY,PU
AL19,PR
AL80,PR
BHM,PU
AL50,PR
AL49,PR
AL91,PR
AL38,PR
0AL8,PR
AL45,PR
AL66,PR
AL65,PR
AL40,PR
AL29,PR
1AL0,PR
8AL3,PR
3AL6,PR
AL30,PR
12J,PU
0AL6,PR
42AL,PR
09A,PU
61A,PU
AL01,PR
AL32,PR
81AL,PR
AL27,PR
PYP,PU
0A8,PU
5AL1,PR
5R1,PU
6AL6,PR
39AL,PR
AL68,PR
35AL,PR
02A,PU
01AL,PR
8AL0,PR
5AL4,PR
11A,PU
9AL6,PR
1AL2,PR
91AL,PR
AL13,PR
9A4,PU
AL51,PR
15A,PU
CMD,PU
3AL9,PR
5AL6,PR
30AL,PR
4R9,PU
6AL8,PR
4AL3,PR
AL47,PR
DCU,PU
1AL1,PR
DYA,PU
AL14,PR
AL20,PR
AL59,PR
DHN,PU
1AL9,PR
14J,PU
7AL9,PR
AL08,PR
AL55,PR
EDN,PU
EUF,PU
AL00,PR
3A7,PU
09AL,PR
GZH,PU
0AL3,PR
CQF,PU
M95,PU
3AL0,PR
4AL7,PR
43AL,PR
52AL,PR
0AL5,PR
7AL8,PR
0J4,PU
AL46,PR
0AL9,PR
40AL,PR
0AL1,PR
02AL,PR
3AL4,PR
5R4,PU
NBJ,PR
48AL,PR
9AL5,PR
67A,PU
2AL5,PR
4A9,PU
0AL4,PR
OZR,PR
HEY,PR
LOR,PR
FHK,PR
SXS,PR
24AL,PR
25AL,PR
05AL,PR
06AL,PR
11AL,PR
12AL,PR
13AL,PR
14AL,PR
15AL,PR
16AL,PR
17AL,PR
19AL,PR
20AL,PR
21AL,PR
22AL,PR
23AL,PR
07AL,PR
65AL,PR
GAD,PU
0AL7,PR
41AL,PR
AL18,PR
AL43,PR
33J,PU
8AL9,PR
7A0,PU
PRN,PU
71AL,PR
68AL,PR
29AL,PR
AL75,PR
AL96,PR
JKA,PU
90AL,PR
8A1,PU
5AL0,PR
AL10,PR
1M4,PU
98AL,PR
HAB,PU
9AL8,PR
2AL7,PR
AL92,PR
AL62,PR
3AL1,PR
5M0,PU
9AL0,PR
00AL,PR
9AL9,PR
8AL7,PR
M38,PU
AL99,PR
HDL,PU
6AL0,PR
9AL1,PR
8AL1,PR
AL93,PR
HSV,PU
AL36,PR
3M5,PU
4AL8,PR
MDQ,PU
32AL,PR
AL72,PR
AL05,PR
38AL,PR
2AL6,PR
4R3,PU
3AL5,PR
AL63,PR
JFX,PU
8AL4,PR
5AL7,PR
7A3,PU
9AL3,PR
4AL9,PR
7AL1,PR
AL88,PR
AL35,PR
57AL,PR
1AL5,PR
04A,PU
AL06,PR
7AL7,PR
2AL1,PR
AL76,PR
A08,PU
AL95,PR
AL09,PR
86AL,PR
28AL,PR
BFM,PU
AL52,PR
AL82,PR
62AL,PR
MOB,PU
75AL,PR
AL31,PR
59AL,PR
1AL6,PR
MVC,PU
5AL3,PR
MXF,PR
1AL3,PR
1AL7,PR
AL11,PR
AL12,PR
MGM,PU
45AL,PR
63AL,PR
1AL8,PR
AL34,PR
AL86,PR
AL44,PR
AL24,PR
77ID,PR
MSL,PU
AL53,PR
5AL5,PR
4AL0,PR
9AL4,PR
20A,PU
4AL2,PR
AL89,PR
3AL2,PR
AL85,PR
AL28,PR
AL71,PR
3AL8,PR
7AL3,PR
71J,PU
AL87,PR
36AL,PR
8AL5,PR
37AL,PR
PLR,PU
AL33,PR
2AL8,PR
84AL,PR
7AL5,PR
AL16,PR
1A9,PU
HUA,PR
3M8,PU
7A5,PU
2AL2,PR
AL25,PR
AL84,PR
1AL4,PR
AL61,PR
M22,PU
AL15,PR
2R5,PU
1A4,PU
36AA,PR
4A6,PU
03AL,PR
8AL6,PR
SEM,PU
AL90,PR
AL74,PR
47AL,PR
AL41,PR
31AL,PR
9AL7,PR
2AL0,PR
AL04,PR
AL58,PR
6AL5,PR
2AL4,PR
7AL2,PR
7A6,PU
HL2,PU
0NY2,PR
AL69,PR
4AL6,PR
NFD,PR
SCD,PU
8AL2,PR
55AL,PR
ASN,PU
3AL7,PR
AL83,PR
5AL2,PR
AL48,PR
97AL,PR
TOI,PU
AL77,PR
AL73,PR
95AL,PR
TCL,PU
AL26,PR
3AL3,PR
9AL2,PR
6AL4,PR
06A,PU
27AL,PR
80AL,PR
07A,PU
AL07,PR
M55,PU
7AL0,PR
6AL3,PR
4AL1,PR
08A,PU
2AL3,PR
AL94,PR
AL17,PR
34AL,PR
AL54,PR
4AL5,PR
99AL,PR
AL98,PR
26AZ,PR
27AZ,PR
28AZ,PR
P01,PU
E51,PU
31AZ,PR
E95,PU
P04,PU
6AZ6,PR
62AZ,PR
10AZ,PR
BXK,PU
29AZ,PR
22AZ,PR
IFP,PU
A20,PU
1AZ8,PR
0AZ9,PR
19AZ,PR
01AZ,PR
33AZ,PR
AZ91,PR
18AZ,PR
AZ52,PR
AZ51,PR
CGZ,PU
P19,PU
AZ87,PR
AZ76,PR
CHD,PU
AZ77,PR
E91,PU
59AZ,PR
Z95,PU
42AZ,PR
CFT,PU
AZ66,PR
AZC,PU
P08,PU
37AZ,PR
P52,PU
AZ22,PR
AZ86,PR
AZ72,PR
AZ00,PR
AZ49,PR
DGL,PU
AZ17,PR
P03,PU
DUG,PU
AZ88,PR
E60,PU
AZ04,PR
36AZ,PR
FLG,PU
AZ23,PR
3AZ0,PR
FHU,PU
5AZ9,PR
E63,PU
AZ05,PR
GAX,PR
GXF,PR
06AZ,PR
AZ79,PR
GEU,PU
77AZ,PR
LUF,PR
P13,PU
AZ56,PR
AZ55,PR
AZ53,PR
AZ54,PR
76AZ,PR
GYR,PU
GCN,PU
40G,PU
14AZ,PR
AZ69,PR
68AZ,PR
6AZ2,PR
03AZ,PR
P14,PU
11AZ,PR
AZ21,PR
0V7,PU
E67,PU
IGM,PU
73AZ,PR
AZ71,PR
AZ97,PR
4AZ6,PR
53AZ,PR
AZ45,PR
AN01,PR
9AZ2,PR
HII,PU
AZ80,PR
71AZ,PR
AZ90,PR
02AZ,PR
4AZ8,PR
MZJ,PU
AZ03,PR
L41,PU
AZ78,PR
AZ13,PR
AZ31,PR
40AZ,PR
2AN2,PR
41AZ,PR
2AZ4,PR
E68,PU
AZ43,PR
2AZ9,PR
L25,PU
20AZ,PR
FFZ,PU
66AZ,PR
AZ10,PR
AZ81,PR
AZ92,PR
AZ39,PR
08AZ,PR
69AZ,PR
0AZ4,PR
5AZ6,PR
1AZ0,PR
45AZ,PR
0AZ5,PR
12AZ,PR
AZ32,PR
AZ28,PR
OLS,PU
30AZ,PR
AZ82,PR
44AZ,PR
PGA,PU
AZ26,PR
P20,PU
AZ47,PR
AZ57,PR
AZ09,PR
PAN,PU
AZ68,PR
1G4,PU
AZ12,PR
L37,PU
3AZ5,PR
AZ36,PR
AZ35,PR
7AZ4,PR
4AZ5,PR
AZ07,PR
AZ20,PR
AZ24,PR
67AZ,PR
5AZ2,PR
AZ29,PR
AZ33,PR
20E,PR
AZ48,PR
AZ62,PR
DVT,PU
AZ95,PR
AZ98,PR
0AZ6,PR
3AZ4,PR
